#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Acidimicrobium ferrooxidans DSM 10331,Bacteria;Terrabacteria group;Actinobacteria,DSM 10331,SAMN02598466,PRJNA29525,GCA_000023265.1,Complete,2.15816,68.3,chromosome:NC_013124.1/CP001631.1,,1,2020,2009-08-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/265/GCA_000023265.1_ASM2326v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/265/GCF_000023265.1_ASM2326v1
Acidiphilium multivorum AIU301,Bacteria;Proteobacteria;Alphaproteobacteria,AIU301,SAMD00060977,PRJDA60101,GCA_000202835.1,Complete,4.21474,66.9853,chromosome:NC_015186.1/AP012035.1; plasmid pACMV1:NC_015178.1/AP012036.1; plasmid pACMV2:NC_015187.1/AP012037.1; plasmid pACMV3:NC_015179.1/AP012038.1; plasmid pACMV4:NC_015188.1/AP012039.1; plasmid pACMV5:NC_015180.1/AP012040.1; plasmid pACMV6:NC_015181.1/AP012041.1; plasmid pACMV7:NC_015189.1/AP012042.1; plasmid pACMV8:NC_015182.1/AP012043.1,,9,3794,2011-03-01T23:03:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/202/835/GCA_000202835.1_ASM20283v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/202/835/GCF_000202835.1_ASM20283v1
Acidipropionibacterium acidipropionici,Bacteria;Terrabacteria group;Actinobacteria,WGS7,SAMN09667102,PRJNA481392,GCA_003956085.1,Complete,3.61515,68.8,chromosome:NZ_CP031057.1/CP031057.1,,1,3227,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/956/085/GCA_003956085.1_ASM395608v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/956/085/GCF_003956085.1_ASM395608v1
Acidisarcina polymorpha,Bacteria;Acidobacteria;Acidobacteriia,SBC82,SAMN09460743,PRJNA476855,GCA_003330725.1,Complete,7.60073,56.8879,chromosome:NZ_CP030840.1/CP030840.1; plasmid pACPOL1:NZ_CP030841.1/CP030841.1; plasmid pACPOL2:NZ_CP030842.1/CP030842.1; plasmid pACPOL3:NZ_CP030844.1/CP030844.1; plasmid pACPOL4:NZ_CP030843.1/CP030843.1,,5,6139,2018-07-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/330/725/GCA_003330725.1_ASM333072v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/330/725/GCF_003330725.1_ASM333072v1
Acidithiobacillus ferrooxidans,Bacteria;Proteobacteria;Acidithiobacillia,YNTRS-40,SAMN11772250,PRJNA543563,GCA_013462805.1,Complete,3.25704,58.4696,chromosome:NZ_CP040511.1/CP040511.1; plasmid p1:NZ_CP040512.1/CP040512.1,,2,3105,2020-07-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/462/805/GCA_013462805.1_ASM1346280v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/462/805/GCF_013462805.1_ASM1346280v1
Acidobacterium capsulatum ATCC 51196,Bacteria;Acidobacteria;Acidobacteriia,ATCC 51196,SAMN02603447,PRJNA28085,GCA_000022565.1,Complete,4.12736,60.5,chromosome:NC_012483.1/CP001472.1,,1,3328,2009-03-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/565/GCA_000022565.1_ASM2256v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/565/GCF_000022565.1_ASM2256v1
Acidothermus cellulolyticus 11B,Bacteria;Terrabacteria group;Actinobacteria,11B; ATCC 43068,SAMN02598358,PRJNA16097,GCA_000015025.1,Complete,2.44354,66.9,chromosome:NC_008578.1/CP000481.1,,1,2137,2006-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/025/GCA_000015025.1_ASM1502v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/025/GCF_000015025.1_ASM1502v1
Acidovorax avenae subsp. avenae ATCC 19860,Bacteria;Proteobacteria;Betaproteobacteria,ATCC 19860,SAMN00006197,PRJNA37867,GCA_000176855.2,Complete,5.48217,68.8,chromosome:NC_015138.1/CP002521.1,,1,4750,2011-02-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/855/GCA_000176855.2_ASM17685v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/855/GCF_000176855.2_ASM17685v2
Acinetobacter baumannii,Bacteria;Proteobacteria;Gammaproteobacteria,K09-14,SAMN12769618,PRJNA565663,GCA_008632635.1,Complete,3.98023,38.9896,chromosome:NZ_CP043953.1/CP043953.1; plasmid pK09-14:NZ_CP043954.1/CP043954.1,,2,3592,2019-09-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/632/635/GCA_008632635.1_ASM863263v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/632/635/GCF_008632635.1_ASM863263v1
Actinoalloteichus hymeniacidonis,Bacteria;Terrabacteria group;Actinobacteria,HPA177(T) (=DSM 45092(T)),SAMN03295676,PRJNA273752,GCA_001747425.1,Complete,6.30639,68.1,chromosome:NZ_CP014859.1/CP014859.1,,1,5300,2016-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/747/425/GCA_001747425.1_ASM174742v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/747/425/GCF_001747425.1_ASM174742v1
Actinobacillus pleuropneumoniae,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC10976,SAMEA104210806,PRJEB6403,GCA_900638445.1,Complete,2.32553,41.2,chromosome 1:NZ_LR134515.1/LR134515.1,,1,2097,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/638/445/GCA_900638445.1_57675_E01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/445/GCF_900638445.1_57675_E01
Actinocatenispora sera,Bacteria;Terrabacteria group;Actinobacteria,NBRC 101916,SAMD00219687,PRJDB9576,GCA_018324685.1,Complete,7.04424,72.6,chromosome:NZ_AP023354.1/AP023354.1,,1,6402,2021-04-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/324/685/GCA_018324685.1_ASM1832468v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/324/685/GCF_018324685.1_ASM1832468v1
Actinomarinicola tropica,Bacteria;Terrabacteria group;Actinobacteria,SCSIO 58843,SAMN13189415,PRJNA587362,GCA_009650215.1,Complete,3.71545,72.6,chromosome:NZ_CP045851.1/CP045851.1,,1,3596,2019-11-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/650/215/GCA_009650215.1_ASM965021v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/650/215/GCF_009650215.1_ASM965021v1
Actinomyces viscosus,Bacteria;Terrabacteria group;Actinobacteria,NCTC10951,SAMEA101153668,PRJEB6403,GCA_900637975.1,Complete,3.49124,68.9,chromosome 1:NZ_LR134477.1/LR134477.1,,1,2720,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/975/GCA_900637975.1_53550_F01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/975/GCF_900637975.1_53550_F01
Actinoplanes missouriensis 431,Bacteria;Terrabacteria group;Actinobacteria,431,SAMD00060941,PRJDA29027,GCA_000284295.1,Complete,8.77347,70.8,chromosome:NC_017093.1/AP012319.1,,1,7960,2012-03-28T23:06:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/295/GCA_000284295.1_ASM28429v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/295/GCF_000284295.1_ASM28429v1
Actinopolyspora erythraea,Bacteria;Terrabacteria group;Actinobacteria,YIM 90600,SAMN07192573,PRJNA389211,GCA_002263515.1,Complete,5.24393,68.8,chromosome:NZ_CP022752.1/CP022752.1,,1,4512,2017-08-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/263/515/GCA_002263515.1_ASM226351v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/515/GCF_002263515.1_ASM226351v1
Actinosynnema mirum DSM 43827,Bacteria;Terrabacteria group;Actinobacteria,DSM 43827,SAMN00001904,PRJNA19705,GCA_000023245.1,Complete,8.24814,73.7,chromosome:NC_013093.1/CP001630.1,,1,6922,2009-08-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/245/GCA_000023245.1_ASM2324v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/245/GCF_000023245.1_ASM2324v1
Actinotignum schaalii,Bacteria;Terrabacteria group;Actinobacteria,CCUG 27420,SAMN02900471,PRJNA247940,GCA_000724605.1,Complete,2.15931,62.2,chromosome:NZ_CP008802.1/CP008802.1,,1,1706,2014-07-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/724/605/GCA_000724605.1_ASM72460v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/605/GCF_000724605.1_ASM72460v1
Adhaeretor mobilis,Bacteria;PVC group;Planctomycetes,HG15A2,SAMN06143216,PRJNA357569,GCA_007741515.1,Complete,5.99686,55.1,chromosome:NZ_CP036263.1/CP036263.1,,1,4679,2019-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/741/515/GCA_007741515.1_ASM774151v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/741/515/GCF_007741515.1_ASM774151v1
Adhaeribacter swui,Bacteria;FCB group;Bacteroidetes/Chlorobi group,KCTC 52873,SAMN15236438,PRJNA639429,GCA_014217805.1,Complete,6.22591,43.0367,chromosome:NZ_CP055156.1/CP055156.1; plasmid unnamed1:NZ_CP055154.1/CP055154.1; plasmid unnamed2:NZ_CP055155.1/CP055155.1,,3,4807,2020-08-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/217/805/GCA_014217805.1_ASM1421780v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/217/805/GCF_014217805.1_ASM1421780v1
Adlercreutzia equolifaciens DSM 19450,Bacteria;Terrabacteria group;Actinobacteria,DSM 19450,SAMD00061014,PRJDB1443,GCA_000478885.1,Complete,2.86253,63.5,chromosome:NC_022567.1/AP013105.1,,1,2262,2013-08-16T23:04:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/478/885/GCA_000478885.1_ASM47888v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/478/885/GCF_000478885.1_ASM47888v1
Advenella mimigardefordensis DPN7,Bacteria;Proteobacteria;Betaproteobacteria,DPN7,SAMN02641504,PRJNA178261,GCA_000521505.1,Complete,4.76413,54.2574,chromosome:NZ_CP003915.1/CP003915.1; plasmid 24p:NZ_CP003916.1/CP003916.1,,2,4287,2014-01-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/505/GCA_000521505.1_ASM52150v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/505/GCF_000521505.1_ASM52150v1
Aegicerativicinus sediminis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,SM2-F,SAMN16657555,PRJNA674463,GCA_015476115.1,Complete,4.09424,36,chromosome:NZ_CP064295.1/CP064295.1,,1,3475,2020-11-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/476/115/GCA_015476115.1_ASM1547611v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/476/115/GCF_015476115.1_ASM1547611v1
Aeoliella mucimassa,Bacteria;PVC group;Planctomycetes,Pan181,SAMN10953992,PRJNA485700,GCA_007748035.1,Complete,6.60879,58,chromosome:NZ_CP036278.1/CP036278.1,,1,5129,2019-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/748/035/GCA_007748035.1_ASM774803v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/748/035/GCF_007748035.1_ASM774803v1
Aequoribacter fuscus,Bacteria;Proteobacteria;Gammaproteobacteria,IMCC3088,SAMN10929367,PRJNA522358,GCA_009910365.1,Complete,3.09539,51.7,chromosome:NZ_CP036423.1/CP036423.1,,1,2778,2020-01-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/910/365/GCA_009910365.1_ASM991036v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/910/365/GCF_009910365.1_ASM991036v1
Aequorivita sublithincola DSM 14238,Bacteria;FCB group;Bacteroidetes/Chlorobi group,DSM 14238,SAMN02232006,PRJNA46631,GCA_000265385.1,Complete,3.52067,36.2,chromosome:NC_018013.1/CP003280.1,,1,3132,2012-06-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/385/GCA_000265385.1_ASM26538v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/385/GCF_000265385.1_ASM26538v1
Aerococcus viridans,Bacteria;Terrabacteria group;Firmicutes,CCUG4311,SAMN04419116,PRJNA308559,GCA_001543285.1,Complete,2.19988,39.4,chromosome:NZ_CP014164.1/CP014164.1,,1,1896,2016-02-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/285/GCA_001543285.1_ASM154328v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/285/GCF_001543285.1_ASM154328v1
Aeromicrobium erythreum,Bacteria;Terrabacteria group;Actinobacteria,AR18,SAMN03701813,PRJNA284384,GCA_001509405.1,Complete,3.62924,72.1,chromosome:NZ_CP011502.1/CP011502.1,,1,3390,2016-01-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/405/GCA_001509405.1_ASM150940v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/509/405/GCF_001509405.1_ASM150940v1
Aeromonas salmonicida,Bacteria;Proteobacteria;Gammaproteobacteria,SRW-OG1,SAMN14515089,PRJNA622411,GCA_012931585.1,Complete,4.62172,59,chromosome:NZ_CP051883.1/CP051883.1,,1,4043,2020-04-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/931/585/GCA_012931585.1_ASM1293158v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/931/585/GCF_012931585.1_ASM1293158v1
Aerosticca soli,Bacteria;Proteobacteria;Gammaproteobacteria,Dysh456,SAMD00115724,PRJDB6914,GCA_003967035.1,Complete,2.87497,68.3,chromosome:NZ_AP018560.1/AP018560.1,,1,2598,2018-05-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/967/035/GCA_003967035.1_ASM396703v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/967/035/GCF_003967035.1_ASM396703v1
Aestuarium zhoushanense,Bacteria;Proteobacteria;Alphaproteobacteria,G7,SAMN06844180,PRJNA384698,GCA_002850435.1,Complete,3.33611,56.805,chromosome:NZ_CP021114.1/CP021114.1; plasmid unnamed1:NZ_CP021115.1/CP021115.1; plasmid unnamed2:NZ_CP021116.1/CP021116.1; plasmid unnamed3:NZ_CP021117.1/CP021117.1,,4,3248,2018-01-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/435/GCA_002850435.1_ASM285043v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/435/GCF_002850435.1_ASM285043v1
Afipia carboxidovorans OM5,Bacteria;Proteobacteria;Alphaproteobacteria,OM5,SAMN02603254,PRJNA41025,GCA_000218565.1,Complete,3.89607,62.3535,chromosome:NC_015684.1/CP002826.1; plasmid pHCG3:NC_015689.1/CP002827.1; plasmid pOC167:NC_015685.1/CP002828.1,,3,3649,2011-06-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/565/GCA_000218565.1_ASM21856v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/565/GCF_000218565.1_ASM21856v1
Agarilytica rhodophyticola,Bacteria;Proteobacteria;Gammaproteobacteria,17,SAMN06187574,PRJNA359155,GCA_002157225.2,Complete,7.11381,40.9519,chromosome:NZ_CP020038.1/CP020038.1; plasmid pSU1:NZ_CP021745.1/CP021745.1; plasmid pSU2:NZ_CP021746.1/CP021746.1; plasmid pSU3:NZ_CP021747.1/CP021747.1,,4,5759,2017-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/157/225/GCA_002157225.2_ASM215722v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/225/GCF_002157225.2_ASM215722v2
Agarivorans albus,Bacteria;Proteobacteria;Gammaproteobacteria,JCM 21469,SAMD00210911,PRJDB9476,GCA_019670105.1,Complete,4.79225,44.2,chromosome:NZ_AP023032.1/AP023032.1,,1,4207,2021-06-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/670/105/GCA_019670105.1_ASM1967010v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/670/105/GCF_019670105.1_ASM1967010v1
Aggregatibacter aphrophilus ATCC 33389,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC5906,SAMEA3919800,PRJEB6403,GCA_900636915.1,Complete,2.33715,42.3,chromosome 1:NZ_LR134327.1/LR134327.1,,1,2059,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/915/GCA_900636915.1_45532_F02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/915/GCF_900636915.1_45532_F02
Agrobacterium tumefaciens,Bacteria;Proteobacteria;Alphaproteobacteria,12D1,SAMN10169604,PRJNA494485,GCA_003667905.1,Complete,5.44603,59.5297,chromosome circular:NZ_CP033031.1/CP033031.1; chromosome linear:NZ_CP033032.1/CP033032.1; plasmid pAt12D1:NZ_CP033033.1/CP033033.1,,3,4955,2018-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/667/905/GCA_003667905.1_ASM366790v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/905/GCF_003667905.1_ASM366790v1
Agromyces aureus,Bacteria;Terrabacteria group;Actinobacteria,AR33,SAMN04283684,PRJNA302856,GCA_001660485.1,Complete,4.37312,70.4,chromosome:NZ_CP013979.1/CP013979.1,,1,3912,2016-06-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/485/GCA_001660485.1_ASM166048v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/485/GCF_001660485.1_ASM166048v1
Ahniella affigens,Bacteria;Proteobacteria;Gammaproteobacteria,D13,SAMN08714471,PRJNA438726,GCA_003015185.1,Complete,6.12094,60.4585,chromosome:NZ_CP027860.1/CP027860.1; plasmid unnamed:NZ_CP027861.1/CP027861.1,,2,4587,2018-03-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/015/185/GCA_003015185.1_ASM301518v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/015/185/GCF_003015185.1_ASM301518v1
